DMosler   20220520130447
Knee EXT/FLEX UNI ISOK CON/CON 500/500 deg/s   Filtered: Yes   Windowed: Yes
  Set  Rep      mSec      TORQUE    POSITION  POS_(ANAT)    VELOCITY
    1    5      4560         0.0       169.9        96.9         0.0
    1    5      4570         3.4       167.7        94.7        20.0
    1    5      4580         7.1       165.2        92.2        41.9
    1    5      4590        14.0       162.3        89.3        85.6
    1    5      4600        24.5       159.1        86.1       152.7
    1    5      4610        39.0       155.5        82.5       244.3
    1    5      4620        50.4       151.7        78.7       321.4
    1    5      4630        59.4       147.5        74.5       380.2
    1    5      4640        67.1       143.0        70.0       415.3
    1    5      4650        77.8       138.4        65.4       443.4
    1    5      4660        79.3       133.6        60.6       423.6
    1    5      4670        83.7       128.9        55.9       393.1
    1    5      4680        81.5       124.6        51.6       334.3
    1    5      4690        70.2       120.9        47.9       254.4
    1    5      4700        46.6       117.5        44.5       159.3
    1    5      4710        27.8       114.5        41.5        89.5
    1    5      4720         0.0       111.9        38.9        43.3
    1    5      4730         0.0       109.6        36.6        20.4
    1    5      4740         0.0       107.5        34.5         0.0
    1    5      4750         0.0       105.7        32.7         0.0
    1    5      4760         0.0       104.2        31.2         0.0
    1    5      4770         0.0       102.8        29.8         0.0
    1    5      4780         0.0       101.5        28.5         0.0
    1    5      4790         0.0       100.4        27.4         0.0
    1    5      4800         0.0        99.5        26.5         0.0
    1    5      4810         0.0        98.6        25.6         0.0
    1    5      4820         0.0        97.8        24.8         0.0
    1    5      4830         0.0        97.2        24.2         0.0
    1    5      4840         0.0        96.6        23.6         0.0
    1    5      4850         0.0        96.1        23.1         0.0
    1    5      4860         0.0        95.6        22.6         0.0
    1    5      4870         0.0        95.2        22.2         0.0
    1    5      4880         0.0        94.9        21.9         0.0
    1    5      4890         0.0        94.6        21.6         0.0
    1    5      4900         0.0        94.3        21.3         0.0
    1    5      4910         0.0        94.1        21.1         0.0
    1    5      4920         0.0        93.9        20.9         0.0
    1    5      4930         0.0        93.7        20.7         0.0
    1    5      4940         0.0        93.5        20.5         0.0
    1    5      4950         0.0        93.4        20.4         0.0
    1    5      4960         0.0        93.2        20.2         0.0
    1    5      4970         0.0        93.1        20.1         0.0
    1    5      4980         0.0        93.0        20.0         0.0
    1    5      4990         0.0        93.0        20.0         0.0
    1    5      5000         0.0        92.9        19.9         0.0
    1    5      5010         0.0        92.9        19.9         0.0
    1    5      5020         0.0        92.9        19.9         0.0
    1    5      5030         0.0        93.0        20.0         0.0
    1    5      5040         0.0        93.3        20.3         0.0
    1    5      5050         0.0        93.7        20.7         0.0
    1    5      5060         0.0        94.3        21.3         0.0
    1    5      5070         0.0        95.0        22.0         0.0
    1    5      5080         0.0        95.9        22.9         0.0
    1    5      5090         0.0        97.0        24.0         0.0
    1    5      5100         0.0        98.3        25.3         0.0
    1    5      5110         0.0        99.8        26.8         0.0
    1    5      5120         0.0       101.5        28.5         0.0
    1    5      5130         0.0       103.5        30.5         0.0
    1    5      5140         0.0       105.9        32.9         0.0
    1    5      5150        -1.6       108.6        35.6       -20.6
    1    5      5160        -3.3       111.6        38.6       -42.8
    1    5      5170        -6.4       114.9        41.9       -87.1
    1    5      5180       -10.8       118.3        45.3      -155.0
    1    5      5190       -17.1       121.9        48.9      -246.9
    1    5      5200       -23.3       125.8        52.8      -320.1
    1    5      5210       -29.6       130.0        57.0      -372.1
    1    5      5220       -30.9       134.5        61.5      -378.9
    1    5      5230       -36.6       139.1        66.1      -376.5
    1    5      5240       -39.2       143.3        70.3      -324.8
    1    5      5250       -36.7       147.1        74.1      -249.7
    1    5      5260       -25.2       150.5        77.5      -157.3
    1    5      5270       -15.3       153.5        80.5       -89.0
    1    5      5280         0.0       156.2        83.2       -43.2
    1    5      5290         0.0       158.5        85.5       -20.4
    1    5      5300         0.0       160.6        87.6         0.0
    1    5      5310         0.0       162.5        89.5         0.0
    1    5      5320         0.0       164.1        91.1         0.0
    1    5      5330         0.0       165.6        92.6         0.0
    1    5      5340         0.0       166.9        93.9         0.0
    1    5      5350         0.0       168.1        95.1         0.0
    1    5      5360         0.0       169.1        96.1         0.0
    1    5      5370         0.0       170.0        97.0         0.0
    1    5      5380         0.0       170.8        97.8         0.0
    1    5      5390         0.0       171.6        98.6         0.0
    1    5      5400         0.0       172.2        99.2         0.0
    1    5      5410         0.0       172.8        99.8         0.0
    1    5      5420         0.0       173.3       100.3         0.0
    1    5      5430         0.0       173.7       100.7         0.0
    1    5      5440         0.0       174.1       101.1         0.0
    1    5      5450         0.0       174.5       101.5         0.0
    1    5      5460         0.0       174.8       101.8         0.0
    1    5      5470         0.0       175.0       102.0         0.0
    1    5      5480         0.0       175.3       102.3         0.0
    1    5      5490         0.0       175.5       102.5         0.0
    1    5      5500         0.0       175.7       102.7         0.0
    1    5      5510         0.0       175.8       102.8         0.0
    1    5      5520         0.0       176.0       103.0         0.0
    1    5      5530         0.0       176.0       103.0         0.0
    1    5      5540         0.0       176.0       103.0         0.0
    1    -      5550         0.0       175.8       102.8         0.0
    1    -      5560         0.0       175.4       102.4         0.0
    1    6      5570         0.0       174.6       101.6         0.0
    1    6      5580         0.0       173.5       100.5         0.0
